Estudiante;Materia 1;Materia 2;Materia 3;Materia 4;Materia 5
Estudiante 1;4,0;1,0;5,0;0,0;2,0
Estudiante 2;0,0;4,0;4,0;3,0;5,0
Estudiante 3;0,0;3,0;5,0;4,0;3,0
Estudiante 4;0,0;2,0;5,0;0,0;3,0
Estudiante 5;0,0;2,0;3,0;2,0;4,0
Estudiante 6;2,0;4,0;4,0;0,0;0,0
Estudiante 7;5,0;4,0;2,0;3,0;3,0
Estudiante 8;2,0;3,0;5,0;2,0;0,0
Estudiante 9;0,0;3,0;2,0;2,0;5,0
Estudiante 10;3,0;0,0;1,0;5,0;0,0
Estudiante 11;4,0;5,0;0,0;4,0;2,0
Estudiante 12;0,0;0,0;1,0;4,0;0,0
Estudiante 13;1,0;5,0;4,0;4,0;4,0
Estudiante 14;4,0;5,0;4,0;1,0;4,0
Estudiante 15;0,0;2,0;4,0;2,0;4,0
Estudiante 16;3,0;5,0;4,0;0,0;0,0
Estudiante 17;2,0;3,0;2,0;2,0;1,0
Estudiante 18;0,0;3,0;4,0;2,0;1,0
Estudiante 19;2,0;5,0;3,0;5,0;0,0
Estudiante 20;2,0;1,0;1,0;4,0;1,0
Estudiante 21;3,0;4,0;5,0;4,0;2,0
Estudiante 22;1,0;3,0;2,0;0,0;0,0
Estudiante 23;2,0;1,0;0,0;3,0;2,0
Estudiante 24;4,0;4,0;3,0;0,0;0,0
Estudiante 25;0,0;3,0;1,0;4,0;1,0
Estudiante 26;1,0;4,0;5,0;1,0;0,0
Estudiante 27;5,0;1,0;4,0;5,0;0,0
Estudiante 28;1,0;2,0;3,0;1,0;2,0
Estudiante 29;2,0;3,0;4,0;4,0;1,0
Estudiante 30;3,0;2,0;4,0;3,0;5,0
Estudiante 31;2,0;3,0;2,0;1,0;1,0
Estudiante 32;0,0;4,0;3,0;5,0;4,0
Estudiante 33;2,0;4,0;5,0;0,0;1,0
Estudiante 34;2,0;4,0;4,0;2,0;0,0
Estudiante 35;3,0;5,0;0,0;2,0;0,0
Estudiante 36;0,0;4,0;2,0;3,0;0,0
Estudiante 37;0,0;0,0;4,0;4,0;4,0
Estudiante 38;2,0;4,0;1,0;3,0;4,0
Estudiante 39;0,0;1,0;3,0;5,0;2,0
Estudiante 40;3,0;3,0;0,0;4,0;1,0
Estudiante 41;3,0;0,0;0,0;5,0;0,0
Estudiante 42;2,0;1,0;4,0;1,0;0,0
Estudiante 43;2,0;4,0;5,0;0,0;1,0
Estudiante 44;1,0;4,0;1,0;3,0;3,0
Estudiante 45;2,0;0,0;1,0;4,0;3,0
Estudiante 46;2,0;5,0;3,0;1,0;5,0
Estudiante 47;4,0;0,0;0,0;4,0;2,0
Estudiante 48;5,0;1,0;1,0;3,0;3,0
Estudiante 49;1,0;1,0;5,0;0,0;2,0
Estudiante 50;0,0;2,0;1,0;1,0;4,0
Estudiante 51;3,0;4,0;2,0;0,0;5,0
Estudiante 52;4,0;3,0;0,0;4,0;1,0
Estudiante 53;2,0;0,0;3,0;3,0;0,0
Estudiante 54;3,0;2,0;3,0;4,0;0,0
Estudiante 55;2,0;3,0;4,0;2,0;4,0
Estudiante 56;2,0;4,0;2,0;0,0;3,0
Estudiante 57;0,0;1,0;5,0;1,0;0,0
Estudiante 58;0,0;1,0;3,0;4,0;0,0
Estudiante 59;4,0;3,0;2,0;0,0;3,0
Estudiante 60;0,0;3,0;3,0;4,0;5,0
Estudiante 61;4,0;0,0;1,0;5,0;2,0
Estudiante 62;2,0;4,0;5,0;2,0;4,0
Estudiante 63;1,0;5,0;3,0;5,0;3,0
Estudiante 64;4,0;0,0;1,0;0,0;4,0
Estudiante 65;3,0;4,0;2,0;2,0;3,0
Estudiante 66;2,0;5,0;3,0;3,0;4,0
Estudiante 67;1,0;2,0;3,0;4,0;3,0
Estudiante 68;3,0;5,0;1,0;4,0;1,0
Estudiante 69;1,0;1,0;3,0;3,0;4,0
Estudiante 70;1,0;2,0;4,0;1,0;5,0
Estudiante 71;5,0;0,0;4,0;1,0;2,0
Estudiante 72;1,0;0,0;4,0;5,0;0,0
Estudiante 73;5,0;1,0;1,0;3,0;1,0
Estudiante 74;0,0;1,0;2,0;2,0;5,0
Estudiante 75;4,0;5,0;4,0;5,0;2,0
Estudiante 76;2,0;0,0;3,0;0,0;2,0
Estudiante 77;4,0;4,0;5,0;5,0;3,0
Estudiante 78;5,0;4,0;1,0;1,0;2,0
Estudiante 79;1,0;2,0;1,0;5,0;5,0
Estudiante 80;3,0;4,0;5,0;1,0;0,0
Estudiante 81;1,0;4,0;2,0;0,0;4,0
Estudiante 82;1,0;1,0;1,0;2,0;2,0
Estudiante 83;1,0;5,0;4,0;2,0;2,0
Estudiante 84;5,0;0,0;0,0;1,0;0,0
Estudiante 85;0,0;2,0;3,0;1,0;2,0
Estudiante 86;4,0;2,0;1,0;1,0;1,0
Estudiante 87;5,0;2,0;1,0;3,0;5,0
Estudiante 88;5,0;5,0;3,0;3,0;1,0
Estudiante 89;5,0;1,0;0,0;3,0;2,0
Estudiante 90;0,0;1,0;3,0;1,0;1,0
Estudiante 91;5,0;2,0;0,0;0,0;2,0
Estudiante 92;5,0;0,0;4,0;0,0;5,0
Estudiante 93;3,0;0,0;2,0;3,0;1,0
Estudiante 94;3,0;4,0;0,0;2,0;0,0
Estudiante 95;1,0;5,0;4,0;2,0;5,0
Estudiante 96;1,0;4,0;4,0;2,0;2,0
Estudiante 97;3,0;1,0;0,0;1,0;0,0
Estudiante 98;1,0;3,0;1,0;0,0;2,0
Estudiante 99;3,0;3,0;1,0;2,0;4,0
Estudiante 100;4,0;4,0;4,0;0,0;1,0
Estudiante 101;2,0;0,0;1,0;2,0;3,0
Estudiante 102;3,0;4,0;0,0;2,0;2,0
Estudiante 103;0,0;1,0;5,0;0,0;1,0
Estudiante 104;0,0;0,0;2,0;5,0;1,0
Estudiante 105;2,0;2,0;2,0;1,0;4,0
Estudiante 106;0,0;3,0;2,0;0,0;3,0
Estudiante 107;2,0;0,0;0,0;4,0;1,0
Estudiante 108;5,0;2,0;4,0;2,0;0,0
Estudiante 109;0,0;0,0;3,0;4,0;5,0
Estudiante 110;0,0;2,0;3,0;2,0;1,0
Estudiante 111;4,0;3,0;2,0;1,0;2,0
Estudiante 112;4,0;5,0;2,0;3,0;1,0
Estudiante 113;0,0;0,0;5,0;3,0;0,0
Estudiante 114;4,0;5,0;4,0;5,0;0,0
Estudiante 115;0,0;0,0;4,0;1,0;0,0
Estudiante 116;3,0;1,0;4,0;0,0;5,0
Estudiante 117;5,0;1,0;2,0;5,0;3,0
Estudiante 118;5,0;4,0;5,0;2,0;2,0
Estudiante 119;1,0;5,0;5,0;5,0;0,0
Estudiante 120;4,0;2,0;3,0;4,0;0,0
Estudiante 121;5,0;2,0;5,0;3,0;0,0
Estudiante 122;5,0;4,0;1,0;5,0;5,0
Estudiante 123;5,0;0,0;4,0;1,0;0,0
Estudiante 124;5,0;3,0;1,0;5,0;5,0
Estudiante 125;5,0;2,0;1,0;3,0;2,0
Estudiante 126;4,0;2,0;2,0;0,0;1,0
